name,unit_no,sector,coal_source,coal_grade,pithead,base_rs_t,freight_rs_t,recon_ecr,real_ecr,vc_final,vc_source
Akaltara TPP /Nariyara TPP,1.0,Private,domestic,G12,False,1616.2400000000002,2190.0,2.7665166318059304,,2.7665166318059304,reconstructed_landed
Gandhi Nagar,5.0,State,domestic,G13,False,1534.13,2190.0,3.0431170652623454,,3.0431170652623454,reconstructed_landed
Chhabra Tps,2.0,State,domestic,G13,False,1534.13,2190.0,3.024257230123699,,3.024257230123699,reconstructed_landed
Kahalgaon,3.0,Centre,domestic,G13,False,1534.13,1280.0,2.2585312918321043,2.17,2.17,real_ISGS_ECR
Sanjay Gandhi,3.0,State,domestic,G12,False,1616.2400000000002,1280.0,2.450061253827559,,2.450061253827559,reconstructed_landed
Kolaghat,3.0,State,domestic,G14,False,1452.02,2190.0,3.4893371220102933,,3.4893371220102933,reconstructed_landed
Unchahar,3.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,3.003236998928189,3.0225,3.0225,real_ISGS_ECR
Bhusawal,5.0,State,domestic,G13,False,1534.13,2190.0,3.3126990113842325,,3.3126990113842325,reconstructed_landed
Dadri (NcTPP),1.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.83661524534687,3.3,3.3,real_ISGS_ECR
Neyveli St Ii,7.0,Centre,lignite,G16,True,1233.06,,1.83825,2.6420000000000003,2.6420000000000003,real_ISGS_ECR
Wanakbori,7.0,State,domestic,G13,False,1534.13,2190.0,3.059001771232877,,3.059001771232877,reconstructed_landed
Amaravati TPP,3.0,Private,domestic,G13,False,1534.13,2190.0,2.703580802921705,,2.703580802921705,reconstructed_landed
Rosa TPP,4.0,Private,domestic,G12,False,1616.2400000000002,2190.0,2.6429366571056065,,2.6429366571056065,reconstructed_landed
Kolaghat,6.0,State,domestic,G14,False,1452.02,2190.0,3.395619376396016,,3.395619376396016,reconstructed_landed
Surat Lignite,3.0,Private,lignite,G16,True,1233.06,,1.65205,,1.65205,modelled_anchor
Simhadri,2.0,Centre,domestic,G14,False,1452.02,2190.0,3.0346656721280665,2.9450000000000003,2.9450000000000003,real_ISGS_ECR
Kahalgaon,2.0,Centre,domestic,G13,False,1534.13,1280.0,2.3022971460687107,2.17,2.17,real_ISGS_ECR
Paricha,5.0,State,domestic,G13,False,1534.13,2190.0,3.051780553366657,,3.051780553366657,reconstructed_landed
Jallippa Kapurdi TPP,3.0,Private,lignite,G14,True,1452.02,,1.54575,,1.54575,modelled_anchor
Tamnar TPP,2.0,Private,domestic,G15,False,1264.0,2190.0,3.0196557542350093,,3.0196557542350093,reconstructed_landed
Vijaywada (Dr. N.TATA Rao Tps),5.0,State,domestic,G15,False,1264.0,2190.0,3.3694097080787504,,3.3694097080787504,reconstructed_landed
R_Gundem Stps,5.0,Centre,domestic,G13,True,1534.13,360.0,1.4863896196504434,2.365,2.365,real_ISGS_ECR
Tenughat,1.0,State,domestic,G13,False,1534.13,2190.0,3.1185204678581724,,3.1185204678581724,reconstructed_landed
Trombay_Coal,2.0,Private,domestic,G10,False,1780.4600000000003,2190.0,2.3877435,,2.3877435,reconstructed_landed
Tamnar TPP,4.0,Private,domestic,G15,False,1264.0,2190.0,2.995568250723897,,2.995568250723897,reconstructed_landed
Simhadri,4.0,Centre,domestic,G15,False,1264.0,2190.0,2.9666511353968987,2.9450000000000003,2.9450000000000003,real_ISGS_ECR
Mahadev Prasad STPP,2.0,Private,domestic,G13,False,1534.13,2190.0,2.9288197030442276,,2.9288197030442276,reconstructed_landed
Mettur,4.0,State,domestic,G15,False,1264.0,2190.0,3.2591401517650938,,3.2591401517650938,reconstructed_landed
Mouda Stps,1.0,Centre,domestic,G14,False,1452.02,2190.0,2.8372579822064057,2.805,2.805,real_ISGS_ECR
I.B.Valley,2.0,State,domestic,G15,False,1264.0,2190.0,3.57804812133747,,3.57804812133747,reconstructed_landed
Barsingar Ligniteite,1.0,Centre,lignite,G15,True,1264.0,,1.5676,1.077,1.077,real_ISGS_ECR
K_Kheda Ii,3.0,State,domestic,G13,False,1534.13,2190.0,3.8152843130860172,,3.8152843130860172,reconstructed_landed
Rayal Seema,1.0,State,domestic,G14,False,1452.02,2190.0,3.381856060493827,,3.381856060493827,reconstructed_landed
Amaravati TPP,5.0,Private,domestic,G13,False,1534.13,2190.0,2.6510877792978906,,2.6510877792978906,reconstructed_landed
Tenughat,2.0,State,domestic,G13,False,1534.13,2190.0,3.208376242144711,,3.208376242144711,reconstructed_landed
Koradi,6.0,State,domestic,G14,False,1452.02,2190.0,3.6870803879764487,,3.6870803879764487,reconstructed_landed
Rajiv Gandhi Tps Hisar,1.0,State,domestic,G14,False,1452.02,2190.0,2.979861933198074,,2.979861933198074,reconstructed_landed
Paricha,3.0,State,domestic,G13,False,1534.13,2190.0,3.1392718756248166,,3.1392718756248166,reconstructed_landed
"India Power TPP (Haldia, Hiranmaye)",1.0,Private,domestic,G14,False,1452.02,2190.0,3.3200338866749686,,3.3200338866749686,reconstructed_landed
Wardha Warora (Sai Wardha Power),4.0,Private,domestic,G12,False,1616.2400000000002,2190.0,2.979963309794621,,2.979963309794621,reconstructed_landed
Torangallu Imp,2.0,Private,imported,G6,False,3319.1300000000006,,3.9978700000000003,,3.9978700000000003,modelled_anchor
Shri Singaji Malwa TPP,2.0,State,domestic,G14,False,1452.02,2190.0,3.081068317021915,,3.081068317021915,reconstructed_landed
Ghtp (Leh.Moh.),4.0,State,domestic,G11,False,1698.3500000000001,2190.0,2.8357540662226817,,2.8357540662226817,reconstructed_landed
Kahalgaon,5.0,Centre,domestic,G13,False,1534.13,1280.0,2.167869811147991,2.17,2.17,real_ISGS_ECR
Chakabura TPP,2.0,Private,domestic,ungraded(<2200),False,1093.83,2190.0,5.732292751789977,,5.732292751789977,reconstructed_landed
R_Gundem Stps,7.0,Centre,domestic,G13,True,1534.13,360.0,1.4485578725961537,2.365,2.365,real_ISGS_ECR
Baradarha TPP,2.0,Private,domestic,G14,False,1452.02,2190.0,2.8469824074851564,,2.8469824074851564,reconstructed_landed
Vallur NTPC/Ntecl,1.0,Centre,domestic,G14,False,1452.02,2190.0,3.0366360317761747,,3.0366360317761747,reconstructed_landed
Vallur NTPC/Ntecl,3.0,Centre,domestic,G14,False,1452.02,2190.0,3.0366360317761747,,3.0366360317761747,reconstructed_landed
Akaltara TPP /Nariyara TPP,3.0,Private,domestic,G13,False,1534.13,2190.0,2.7462423656292287,,2.7462423656292287,reconstructed_landed
Anuppur TPP,1.0,Private,domestic,G13,False,1534.13,2190.0,2.9868609877121117,,2.9868609877121117,reconstructed_landed
Wanakbori,6.0,State,domestic,G13,False,1534.13,2190.0,3.179040763885059,,3.179040763885059,reconstructed_landed
Nabi Nagar TPP (Brbcl),2.0,Centre,domestic,G13,False,1534.13,2190.0,2.9673602966521107,,2.9673602966521107,reconstructed_landed
Nabi Nagar TPP (Brbcl),3.0,Centre,domestic,G13,False,1534.13,2190.0,2.9673602966521107,,2.9673602966521107,reconstructed_landed
